gene_name,Kruskal-Wallis H,KW p_value,ANOVA F,F p_value,On ratio
WBSCR22,19.468493618377153,0.012545281327480258,2.202058631158852,0.02686676901048219,0.29261363636363635
FDXACB1,19.626671914823785,0.01184462993511334,2.2007982381011515,0.026957444243765245,0.05397727272727273
ZC3H13,17.999666314423717,0.021228988131392654,2.2007635715963785,0.026959942311329033,0.3210227272727273
SMARCB1,19.974287871815115,0.010433767023636631,2.1990402759818592,0.027084399514474077,0.24147727272727273
RUFY1,18.059833795496875,0.020782349872201563,2.1989930101018387,0.027087820728500137,0.06818181818181818
RRAGA,18.05601072329294,0.020810463483469738,2.1988709898902505,0.027096654725526824,0.14772727272727273
ANKRD39,16.629173453390834,0.034210629064481725,2.1985345809754158,0.027121024121184174,0.22727272727272727
SH3KBP1,13.233158715677678,0.10407518422124563,2.1983196029206002,0.027136607951131923,0.5340909090909091
RPL14,12.349642072899066,0.13627219609869645,2.197598399153628,0.027188950179570976,0.5823863636363636
AEBP2,24.01900806777377,0.002275033306287097,2.197351353237631,0.027206901793880967,0.5994318181818182
GABPB1,18.472798197555125,0.0179481254210217,2.1970807141815043,0.02722658068102281,0.2840909090909091
RAB7A,14.184320119024683,0.0770858895985077,2.1969702389907266,0.02723461749763378,0.5710227272727273
RPN2,18.260076910790012,0.019358968703090732,2.1964395954996716,0.027273251894524755,0.6590909090909091
BPTF,18.060445563723107,0.02077785446024137,2.1963411221650975,0.02728042711528947,0.23863636363636365
RP11-693N9.2,18.75848189203875,0.016206037662013104,2.1959283287675806,0.027310524587898937,0.07954545454545454
CD109,16.92064634901998,0.030946071820701825,2.1956903709351376,0.027327888775415185,0.1278409090909091
ZNF827,25.545726295987663,0.001255680941934276,2.1948796409656532,0.027387127583799565,0.0625
CFLAR,16.711461818373802,0.03325784042082393,2.1942217271703344,0.02743528963730175,0.5596590909090909
SEC24D,22.264326522929498,0.004449032609890947,2.1941007521880724,0.027444154232363703,0.17613636363636365
AARS,15.463904777294282,0.05072850361795342,2.193505273748466,0.02748782818498331,0.09659090909090909
YPEL2,21.64762416799663,0.005612216740681316,2.19339800867798,0.027495702273243838,0.07670454545454546
PPA2,16.04337907644723,0.04176341581161232,2.1933351373400027,0.027500318509130532,0.2755681818181818
AC006129.2,15.829765931590586,0.04488251548067649,2.1917443533817362,0.027617363774189958,0.5880681818181818
BRK1,14.342067858587933,0.07327382546607271,2.191396517349322,0.02764301925510586,0.5340909090909091
RHOG,25.650015730756355,0.0012053191129552706,2.1906511963695743,0.027698068125020545,0.15625
HINT2,19.012433680982934,0.014793293466370662,2.1903544197043883,0.027720016689659205,0.36363636363636365
ARMCX3-1,20.506851280389302,0.008579459578432461,2.1895821108557665,0.02777721109255715,0.15625
RBM18,17.489911088369855,0.02539327874341572,2.1878679125633367,0.027904557505036592,0.23011363636363635
ENO1,21.985385227403405,0.004943013151040305,2.187712851250367,0.027916104078829666,0.9119318181818182
RSL1D1,8.78471578978505,0.36078145244602317,2.186848062004698,0.027980583155968696,0.5028409090909091
