gene_name,total variance,interclonal variance,intraclonal variance,ANOVA F,p
HSH2D,1598.1389,223.01776167284697,1375.12117934227,6.953486482039955,1.6858357535004782e-08
RUNX2,1363.3157,190.11783519387245,1173.1977282762527,6.947935533351028,1.714968126224799e-08
MT-RNR2,49.66523,6.905950395856053,42.75928393751383,6.924639422283649,1.84283002394646e-08
CD27,2557.5762,355.4778228155337,2202.0984501838684,6.92117632249522,1.8626357535097122e-08
BIN1,1571.6597,216.51572582498193,1355.1440260410309,6.850276846119548,2.3184096298503515e-08
MT-ND5,344.0089,47.29207030422549,296.7168237864971,6.83361155063005,2.4408369593329885e-08
BST2,3420.3457,469.1123138666153,2951.2334384918213,6.815181135691401,2.5837829129937248e-08
CTSH,1732.7908,237.15444004908204,1495.636278271675,6.798442084364461,2.7208611081758804e-08
PMCH,534.8916,73.17488091038831,461.71675103902817,6.7950166676272525,2.7497973629683622e-08
NAMPT,2448.2778,334.28414667304605,2113.993693113327,6.779789757792109,2.8822015298725674e-08
RRM2,1328.9902,180.67260588053614,1148.3177762031555,6.745813865862804,3.201102222265519e-08
HMGN2P8,1028.5112,139.38475862145424,889.1265544891357,6.721339606518155,3.452489744664998e-08
LGALS1,3709.2986,502.4527307897806,3206.8458725214005,6.717710076809463,3.4914169983196586e-08
IFI27L2,2534.767,342.3924618251622,2192.3743345737457,6.6959718371306405,3.733933441645078e-08
EMP3,2128.204,287.0993164256215,1841.1048570871353,6.685867534575706,3.85233053452786e-08
KIAA1217,609.8002,82.18009497714229,527.620013183332,6.678047617804588,3.946533792653497e-08
LCK,1778.1932,239.4933660775423,1538.6998318433762,6.67334710648089,4.004264880385408e-08
CD7,1449.2888,195.0434247907251,1254.245320558548,6.667345455335887,4.079206741147926e-08
TNFSF8,1602.6913,215.43032145616598,1387.261000752449,6.658137890002823,4.196918621865624e-08
ACTG1,1233.8776,165.8477980159223,1068.029732465744,6.657796242728419,4.201351148456329e-08
NEAT1,820.1545,109.99347097426653,710.1610198020935,6.640705328118285,4.429173212731651e-08
MAP3K6,538.00964,72.0490015950054,465.9605979323387,6.629532533638003,4.584749570206174e-08
RPS19,109.2112,14.541406514123082,94.66977886855602,6.585658187272966,5.2504385472153534e-08
MCM4,1200.175,158.58444916829467,1041.5906785232946,6.52781212263755,6.278203955609683e-08
ITGA4,2571.1865,339.6913418583572,2231.495153903961,6.5266851495048686,6.300109855644824e-08
CD38,1756.513,231.95327794190962,1524.559583902359,6.523193253164651,6.368471552374684e-08
RPL6,1554.7219,205.26801649481058,1349.4540207386017,6.521797758176298,6.39599864870878e-08
FUT8,2561.3896,334.60122737661004,2226.7884011268616,6.442474559555087,8.173182601424505e-08
DPYSL2,2362.455,308.3758159093559,2054.0791478157043,6.436759324086133,8.3188614667008e-08
CEACAM1,2841.7268,370.5999596789479,2471.1271481513977,6.430050870964491,8.493174925822143e-08
MTATP6P1,89.99195,11.733498234640138,78.25845256447792,6.428362947704702,8.537606642041977e-08
CCR1,1432.3281,186.0672512887977,1246.2608041763306,6.401255156443534,9.283885097534192e-08
PLSCR1,3167.4468,411.3703536391258,2756.076555252075,6.399497096213413,9.334479282329521e-08
TK1,1271.5386,164.27711331605678,1107.2612428483553,6.361083510253921,1.0511505811735488e-07
RGL4,781.7473,100.65064719505608,681.0966375470161,6.335953314980412,1.1360739828206498e-07
IDI1,2554.8647,328.63988652825356,2226.2247438430786,6.329295896053553,1.1596996528662506e-07
SH2D1A,2993.5093,384.6290003657341,2608.8805079460144,6.321089961940909,1.1894980083693706e-07
WDR76,838.6797,107.52047467790544,731.1592229902744,6.3049746305074175,1.250265390031713e-07
GZMH,1744.1073,222.44523829221725,1521.6620788574219,6.267711947543678,1.402933297120244e-07
CCND3,2645.1687,336.0080401331388,2309.1607184410095,6.2387795728807145,1.5342184107698742e-07
RP11-493L12.5,803.1858,101.75505340844393,701.4307698607445,6.21978405046755,1.6270263204308945e-07
MT-TR,928.7777,117.62849432323128,811.149178147316,6.217502069875245,1.6385468431508368e-07
MCM5,1688.9689,213.33656184002757,1475.6325194835663,6.198565678189533,1.7373490488807067e-07
SLC31A2,511.29364,64.48245099262567,446.81111542880535,6.187592454264601,1.7973069251280198e-07
STAP1,1481.1758,186.77705884352326,1294.3987845177762,6.186707291215077,1.8022327293307275e-07
HLA-DPB1,2639.629,332.53364600241184,2307.095020055771,6.179797515235743,1.8411515778779294e-07
ANXA2,2637.2715,331.2973289601505,2305.974042415619,6.159814775836196,1.9584977467166526e-07
HMGN1P38,424.36078,53.30028013186529,371.06052446365356,6.158697463053824,1.9652755229507506e-07
AFAP1L2,1267.0593,158.65602468326688,1108.4032318592072,6.13709601593721,2.1010223505582534e-07
PRF1,1048.5608,130.24871060275473,918.3120175600052,6.081172150976677,2.4976229722892225e-07
