,TPM_p,UMI_p,TPM_logp,UMI_logp
WDPCP,0.5931324693272249,0.4872694584550116,0.2268483011164348,0.3122308088939696
STK19P,0.5933814417734776,0.4090240608512208,0.22666604052913125,0.388251143856807
SMYD2,0.5933984960755546,0.38477214272543026,0.22665355870491255,0.41479637815857334
TPST2,0.5937225629400353,0.6083053724861647,0.2264164464854993,0.21587834787902652
KDM4A-AS1,0.5937669917054135,0.51632622890854,0.2263839490751852,0.28707581262290655
ZNF224,0.5938004302102621,0.712646976065616,0.2263594920921547,0.14712555333827948
AC125232.1,0.5940169972704095,0.6858802665753492,0.22620112788895275,0.1637516920251972
UBE2J2,0.5942231549071088,0.44949497120134474,0.22605042918590856,0.3472751626442638
FBXO44,0.5942542032105382,0.7039123386996979,0.2260277377870984,0.15248142209291982
ESRRA,0.5942825186297311,0.6572067996019586,0.2260070447280038,0.18229795191023612
SF3A2,0.5943285313914878,0.7741471656494592,0.22597342045951382,0.11117647193450134
LAS1L,0.5947909027503135,0.5278765643161683,0.2256356825770392,0.2774676185713017
EEFSEC,0.5949159052169186,0.594416268231782,0.22554441995450547,0.2259093131327257
ILKAP,0.5949913648182223,0.699667806051933,0.22548933719415593,0.15510810890286797
SCYL2,0.5953445179252125,0.557358530728827,0.2252316411062596,0.2538653473299603
PRPF4B,0.595369175709946,0.7106242037591,0.2252136540117893,0.1483600045866215
CTRL,0.5953959864300675,0.5519436733605934,0.22519409726260514,0.25810524038102717
POLR3E,0.5956141194550998,0.7149351760528456,0.2250350155391445,0.14573333436510522
ELMO1-AS1,0.5957477539757273,0.5701118358975219,0.2249375863088862,0.24403994266255088
CNTRL,0.595827871402322,0.4512217125844392,0.2248791853889853,0.34561001046812995
AKAP17A,0.5961005152493164,0.22399186782765085,0.2246805027807586,0.6497677487269432
MED8,0.5963344145714502,0.5567312379990454,0.22451012671463363,0.2543544098947888
RAB4A,0.5964679354367934,0.41179147863700216,0.22441289790672708,0.38532264465149607
HMOX2,0.5964999894685881,0.6906688220267923,0.22438955966125732,0.16073014834789298
