,Condition,Cell_Number,Clone_ID,Day,In_Vivo_Clone_ID,Project_ID,Donor_ID,Method,Vb,D,Jb,TCR Beta,Nuc_Seq_TRB,Va,Ja,TCR Alpha,Nuc_Seq_TRA,Va2,Ja2,TCR Alpha2,Nuc_Seq_TRA_2,Notes,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,total_counts_mt,log1p_total_counts_mt,pct_counts_mt,n_counts
P1902_1187,In_Vivo,1.0,0,136.0,,P1902,,,,,,,,,,,,,,,,,1709,7.444248649496705,8702.621,9.071494,160.08699,5.0819445,1.8395262,8702.621
P1902_1188,In_Vivo,1.0,0,136.0,,P1902,,,,,,,,,,,,,,,,,1426,7.2633296174768365,7231.5024,8.88634,162.44656,5.096486,2.2463737,7231.5024
P1902_1189,In_Vivo,1.0,255,136.0,,P1902,,,,,,,,,,,,,,,,,1841,7.518607216815252,9041.008,9.109636,175.31468,5.1722703,1.9391056,9041.008
P1902_1190,In_Vivo,1.0,160,136.0,,P1902,,,,,,,,,,,,,,,,,1496,7.311218384419629,7558.6904,8.930586,169.47044,5.1385617,2.242061,7558.6904
P1902_1191,In_Vivo,1.0,130,136.0,,P1902,,,,,,,,,,,,,,,,,1885,7.542213463193403,9070.139,9.112853,164.92958,5.1115637,1.81838,9070.139
P1902_1192,In_Vivo,1.0,100,136.0,,P1902,,,,,,,,,,,,,,,,,1861,7.529406457837013,9234.846,9.130848,168.46437,5.1326427,1.8242251,9234.846
P1902_1193,In_Vivo,1.0,0,136.0,,P1902,,,,,,,,,,,,,,,,,1959,7.580699752224563,9823.06,9.19259,171.36409,5.149609,1.7445084,9823.06
P1902_1194,In_Vivo,1.0,162,136.0,,P1902,,,,,,,,,,,,,,,,,1789,7.489970898834801,9014.309,9.106679,161.30447,5.089474,1.789427,9014.309
P1902_1195,In_Vivo,1.0,0,136.0,,P1902,,,,,,,,,,,,,,,,,1601,7.379008127628304,8117.9844,9.001961,178.94028,5.192625,2.204245,8117.9844
P1902_1196,In_Vivo,1.0,275,136.0,,P1902,,,,,,,,,,,,,,,,,1646,7.4067107301776405,8362.767,9.031664,179.36168,5.194964,2.144765,8362.767
P1902_1197,In_Vivo,1.0,95,136.0,,P1902,,,,,,,,,,,,,,,,,1774,7.4815557019095165,8892.819,9.093112,162.71335,5.098117,1.8297162,8892.819
P1902_1199,In_Vivo,1.0,149,136.0,,P1902,,,,,,,,,,,,,,,,,1966,7.584264818389059,9335.311,9.141666,174.99538,5.170458,1.8745534,9335.311
P1902_1201,In_Vivo,1.0,118,136.0,,P1902,,,,,,,,,,,,,,,,,1745,7.465082736399547,8767.998,9.078978,160.00076,5.081409,1.8248266,8767.998
P1902_1202,In_Vivo,1.0,92,136.0,,P1902,,,,,,,,,,,,,,,,,1581,7.366445148327599,8065.3096,8.995451,169.43445,5.138351,2.1007805,8065.3096
P1902_1203,In_Vivo,1.0,100,136.0,,P1902,,,,,,,,,,,,,,,,,1721,7.451241684987676,8552.666,9.054115,178.39713,5.189602,2.0858657,8552.666
P1902_1204,In_Vivo,1.0,127,136.0,,P1902,,,,,,,,,,,,,,,,,1447,7.277938572945661,7426.325,8.912921,166.871,5.1231956,2.2470198,7426.325
P1902_1205,In_Vivo,1.0,0,136.0,,P1902,,,,,,,,,,,,,,,,,1752,7.469083884921234,8731.789,9.074841,176.57297,5.179382,2.0221853,8731.789
P1902_1207,In_Vivo,1.0,142,136.0,,P1902,,,,,,,,,,,,,,,,,1616,7.388327859577107,8001.04,8.987452,165.78232,5.1166897,2.0720096,8001.04
P1902_1209,In_Vivo,1.0,149,136.0,,P1902,,,,,,,,,,,,,,,,,1609,7.383989457978509,8243.863,9.017345,164.87305,5.1112227,1.9999487,8243.863
P1902_1210,In_Vivo,1.0,149,136.0,,P1902,,,,,,,,,,,,,,,,,1711,7.445417556701687,8510.828,9.049212,167.34848,5.126036,1.9663008,8510.828
P1902_1211,In_Vivo,1.0,242,136.0,,P1902,,,,,,,,,,,,,,,,,1916,7.558516743045645,9198.081,9.126859,179.63225,5.196463,1.9529319,9198.081
P1902_1213,In_Vivo,1.0,112,136.0,,P1902,,,,,,,,,,,,,,,,,1853,7.5251007461258,9024.055,9.107759,178.61179,5.190798,1.9792852,9024.055
P1902_1215,In_Vivo,1.0,100,136.0,,P1902,,,,,,,,,,,,,,,,,1954,7.578145472419466,9177.619,9.124632,163.55283,5.1032314,1.7820833,9177.619
