,Donor,Timepoint,clone_id,DonorDay,HLA Type,TRA,cloneCount_A,nSeqCDR3_A,allVHitsWithScoreA,allJHitsWithScoreA,TRA2,cloneCount_A2,nSeqCDR3_A2,allVHitsWithScoreA2,allJHitsWithScoreA2,TRB,cloneCount_B,nSeqCDR3_B,allVHitsWithScoreB,allDHitsWithScoreB,allJHitsWithScoreB,TRD,cloneCount_D,nSeqCDR3_D,TRG,cloneCount_G,nSeqCDR3_G,n_genes_by_counts,log1p_n_genes_by_counts,total_counts,log1p_total_counts,total_counts_mt,log1p_total_counts_mt,pct_counts_mt,n_counts,n_genes,is_clone0
P20407_A30_D14_p3_I22,,,B1436,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3418,8.137103389639302,17887.822,9.791931,135.11826,4.913524,0.7553645,17887.822,3418,0
P20407_A30_D14_p3_J22,,,B403,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,5066,8.53050420547591,23072.26,10.04643,130.5896,4.879688,0.5660026,23072.26,5066,0
P20407_A30_D14_p3_P22,,,B574,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2339,7.757906208351747,13156.112,9.484717,144.64691,4.9811854,1.0994655,13156.112,2339,0
P20407_A30_D14_p3_M22,,,B0,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,1334,7.19668657083435,8403.045,9.0364685,152.63885,5.0346045,1.8164707,8403.045,1334,1
P20407_A30_D14_p3_G22,,,B519,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3021,8.013674142832684,16138.602,9.689032,140.27992,4.950743,0.86921984,16138.602,3021,0
P20407_A30_D14_p5_M13,,,B477,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2937,7.9854843567338225,15794.6,9.667487,125.41218,4.8395476,0.79401934,15794.6,2937,0
P20407_A30_D14_p5_P13,,,B205,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3359,8.11969625295725,17495.479,9.769755,144.50092,4.980182,0.8259329,17495.479,3359,0
P20407_A30_D14_p5_G13,,,B1180,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2869,7.962067308753666,15596.42,9.6548605,128.26472,4.8618627,0.82239854,15596.42,2869,0
P20407_A30_D14_p5_B13,,,B479,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3204,8.07246736935477,16788.586,9.728514,140.69958,4.953709,0.83806694,16788.586,3204,0
P20407_A30_D14_p5_E13,,,B863,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2634,7.876638460975463,14490.644,9.581327,118.456924,4.7829556,0.81747186,14490.644,2634,0
P20407_A30_D14_p5_I13,,,B516,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3372,8.12355783506165,17822.752,9.788287,109.01542,4.7006207,0.61166435,17822.752,3372,0
P20407_A30_D14_p5_C13,,,B1567,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3223,8.07837810362652,17121.492,9.748148,133.3963,4.900793,0.7791161,17121.492,3223,0
P20407_A30_D14_p5_H13,,,B507,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,4500,8.412054873292933,21704.934,9.985341,144.5561,4.9805617,0.6660058,21704.934,4500,0
P20407_A30_D14_p5_O13,,,B47,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3291,8.09925056179696,17118.65,9.747982,125.93649,4.843687,0.73566836,17118.65,3291,0
P20407_A30_D14_p5_A13,,,B500,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3101,8.039802343736485,16584.94,9.7163105,127.76154,4.857962,0.77034676,16584.94,3101,0
P20407_A30_D14_p5_J13,,,B1286,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3267,8.091933455979893,16876.408,9.733731,139.23903,4.9433484,0.8250513,16876.408,3267,0
P20407_A30_D14_p5_N13,,,B111,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2985,8.001689978099135,16203.331,9.693034,139.74982,4.946984,0.8624759,16203.331,2985,0
P20407_A30_D14_p5_K13,,,B741,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2751,7.920083199053234,15052.684,9.619378,116.5861,4.767171,0.77452034,15052.684,2751,0
P20407_A30_D14_p5_L13,,,B205,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3325,8.109525659752872,17406.01,9.764628,124.27369,4.830501,0.71397,17406.01,3325,0
P20407_A30_D14_p5_D13,,,B1149,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3064,8.027802848370312,16395.08,9.704798,121.11553,4.8049674,0.7387309,16395.08,3064,0
P20407_A30_D14_p5_F13,,,B184,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2976,7.998671361015776,16174.271,9.691239,132.52979,4.894325,0.8193864,16174.271,2976,0
P20407_A30_D14_p4_N3,,,B185,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3424,8.138856750696325,17833.803,9.788907,119.8138,4.7942505,0.67183536,17833.803,3424,0
P20407_A30_D14_p4_B3,,,B96,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2768,7.926241523170962,15361.288,9.639671,95.61004,4.5706825,0.622409,15361.288,2768,0
P20407_A30_D14_p4_I3,,,B864,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3688,8.213110697596676,18774.707,9.840319,130.64188,4.880085,0.69583976,18774.707,3688,0
P20407_A30_D14_p4_D3,,,B707,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2709,7.904703913873747,14941.546,9.611968,114.5802,4.7499647,0.76685643,14941.546,2709,0
P20407_A30_D14_p4_J3,,,B992,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2973,7.9976631270201,16100.667,9.686678,124.852104,4.8351073,0.7754468,16100.667,2973,0
P20407_A30_D14_p4_M3,,,B1552,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2573,7.853216388156072,14375.178,9.573328,114.58185,4.749979,0.7970813,14375.178,2573,0
P20407_A30_D14_p4_H3,,,B744,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2390,7.779466967458324,13729.136,9.5273485,108.42697,4.695257,0.7897582,13729.136,2390,0
P20407_A30_D14_p4_A3,,,B880,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2853,7.956476798036782,15388.887,9.641466,125.67371,4.8416147,0.81665236,15388.887,2853,0
P20407_A30_D14_p4_C3,,,B1042,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3030,8.016647877057803,16331.991,9.700942,114.03292,4.7452183,0.6982181,16331.991,3030,0
P20407_A30_D14_p4_K3,,,B835,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2914,7.977625098784593,15971.328,9.678613,115.58466,4.758618,0.723701,15971.328,2914,0
P20407_A30_D14_p4_G3,,,B185,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2856,7.957527402230773,15475.225,9.64706,124.61309,4.8332067,0.80524254,15475.225,2856,0
P20407_A30_D14_p4_F3,,,B160,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3108,8.042056410058754,16343.491,9.701646,126.22975,4.8459945,0.7723549,16343.491,3108,0
P20407_A30_D14_p4_L3,,,B38,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,4455,8.40200678160712,21498.803,9.975799,122.7552,4.8183055,0.5709862,21498.803,4455,0
P20407_A30_D14_p4_E3,,,B71,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2994,8.00469951054955,16000.675,9.680449,103.312454,4.647391,0.6456756,16000.675,2994,0
P20407_A30_D14_p3_F10,,,B1022,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3241,8.08394570229562,17185.846,9.7519,124.1846,4.8297896,0.72259814,17185.846,3241,0
P20407_A30_D14_p3_N10,,,B169,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2743,7.917171988845776,14699.62,9.595645,145.07248,4.9841027,0.98691314,14699.62,2743,0
P20407_A30_D14_p3_A10,,,B544,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3333,8.111928063310739,17142.908,9.749398,147.16893,4.998353,0.8584829,17142.908,3333,0
P20407_A30_D14_p3_O10,,,B35,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,4076,8.313116702819253,19810.041,9.893994,128.94164,4.8670855,0.6508903,19810.041,4076,0
P20407_A30_D14_p3_H10,,,B273,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3318,8.107418811719974,17253.426,9.755824,131.40083,4.8858337,0.7615927,17253.426,3318,0
P20407_A30_D14_p3_D10,,,B57,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,4961,8.509564164251746,23235.684,10.053488,129.79248,4.873612,0.5585912,23235.684,4961,0
P20407_A30_D14_p3_C10,,,B805,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3932,8.27715777243181,19639.814,9.8853655,137.04343,4.9275684,0.6977837,19639.814,3932,0
P20407_A30_D14_p3_E10,,,B252,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3205,8.072779333169498,17018.629,9.742123,144.27147,4.9786043,0.84772676,17018.629,3205,0
P20407_A30_D14_p3_L10,,,B1005,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3259,8.089482474360754,17221.398,9.753966,135.39668,4.9155674,0.7862119,17221.398,3259,0
P20407_A30_D14_p3_B10,,,B621,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,3129,8.048788283534199,16515.791,9.712132,119.26811,4.7897234,0.7221459,16515.791,3129,0
P20407_A30_D14_p3_K10,,,B1121,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2569,7.851661177889265,14316.773,9.569257,139.7602,4.9470577,0.9761989,14316.773,2569,0
P20407_A30_D14_p3_I10,,,B781,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,4590,8.431853144249223,22260.525,10.010615,143.17795,4.9710484,0.6431921,22260.525,4590,0
P20407_A30_D14_p3_J10,,,B57,A1_30_D14,,,,,,,,,,,,,,,,,,,,,,,,2810,7.941295570906532,15224.166,9.630705,117.9599,4.7787867,0.7748201,15224.166,2810,0
