,TPM_p,UMI_p,TPM_logp,UMI_logp
C6orf106,0.6263280838216309,0.2615406231472072,0.20319811460346757,0.5824608458465461
CTC-471F3.4,0.6264019686785498,0.4544746123168223,0.20314688603171058,0.34249037215304606
RP11-77K12.1,0.6265867394109503,0.5719186923818649,0.2030188004239755,0.24266570889897682
SNX5,0.626655886242242,0.8205618399660697,0.20297087660350077,0.08588868366147
PPFIA1,0.6266832872822178,0.9680509738663231,0.2029518871380581,0.014101773801097417
NSFL1C,0.6267120323027967,0.47375894879081926,0.20293196715969733,0.3244425735963942
RHOQ,0.6271644027850845,0.6308670599449221,0.20261859973806048,0.2000621482282303
HAUS5,0.6273198262768551,0.6898309053408347,0.2025109864837592,0.16125735256312038
OGFOD1,0.6273477280838233,0.6767280238672232,0.2024916704493861,0.1695858386504225
RGS2,0.6274313990537967,0.6093853496851533,0.20243375134661667,0.21510799091967422
NDUFA10,0.6277127062165078,0.431090254919551,0.20223908023272966,0.36543179454926794
TRIM27,0.6278848900361078,0.5742001615954344,0.20211996805313126,0.24093668961729825
ATPAF1,0.627927056866225,0.8440283489235512,0.20209080314242742,0.07364296620100134
USP39,0.6281455240657656,0.6090336134646273,0.20193973050278155,0.2153587373517694
C2orf47,0.628209684340792,0.5697843865629761,0.201895372898755,0.24428945562733786
SEC11A,0.6283713738400865,0.7606831841217682,0.20178360795170977,0.11879618427586736
RP5-1142J19.2,0.6284158907518382,0.699921374740459,0.2017528414891939,0.15495074346317111
CHCHD6,0.6286712091507178,0.4981882685890374,0.20157642829826217,0.3026065035097353
RP11-112J1.1,0.6292135806122048,0.4928468229879205,0.20120191236583362,0.3072880386697546
METTL6,0.6292616642721004,0.5192750139474129,0.20116872543067948,0.28460257393070154
CDC5L,0.6294148667319082,0.5407057320757825,0.20106300329858567,0.26703902640054156
RP11-449H11.1,0.6295013650619508,0.5839902297163713,0.20100332379562633,0.23359441866801328
SFXN4,0.6295278344216797,0.7174188015249189,0.20098506290560694,0.14422724587649122
PRDM2,0.6296447337581639,0.6153921014912054,0.2009044246544219,0.21084808218800521
GPR18,0.629744460411944,0.5564097758418083,0.20083564411266977,0.2546052482758636
MGA,0.6298090535775207,0.6169425068006277,0.2007911006215173,0.2097553062141399
LYSMD1,0.6298512381626593,0.7917633156851853,0.2007620125686922,0.10140462403439522
DPH7,0.6298539135739205,0.725002310302648,0.20076016782534734,0.1396606094978437
RP11-166O4.1,0.6299540926060093,0.8303942699393567,0.200691098251703,0.08071565629511673
ZNF718,0.6301372763225513,0.3963327191672129,0.2005648285544559,0.4019400730929735
MPP5,0.630220647208569,0.40664909553585693,0.2005073726284437,0.3907801893154458
USP30-AS1,0.6303970761614526,0.5122312407657568,0.20038580981084225,0.29053393762388297
EMC9,0.6304909305078832,0.6098573930835975,0.20032115628948724,0.2147717070178473
SRP9P1,0.6305681772523895,0.05851236297956841,0.20026795048062457,1.232752362865775
CDCA4,0.6306687738241865,0.5951737383356575,0.2001986716094573,0.22535624000843374
MRPL13,0.6308653630246925,0.5788836281409444,0.2000633164047446,0.2374087328802341
NDUFB3,0.6310345514166452,0.7069760624647317,0.19994686091627592,0.15059529075115394
MRPL24,0.6311558723280102,0.34671256110222043,0.19986337271748067,0.4600304239376016
PPP2R2A,0.6313790925731018,0.4335952697226326,0.19970980339164407,0.3629154643491997
SNRPGP10,0.6314030837116138,0.2770391169933458,0.19969330138636196,0.5574589056829983
PRPF3,0.6314632312929831,0.6050659284430946,0.19965193237936904,0.21819730171269144
STAT4,0.6315978819992172,0.6822514543845014,0.1995593350247233,0.1660555298530233
VPS29,0.6317835001514628,0.6492462004407593,0.199431720448507,0.18759058329656553
OTUB1,0.6320266639917216,0.6008333128800318,0.199264599280594,0.22124599611225593
YKT6,0.632152380241848,0.6826020577597416,0.19917822247480133,0.16583240683916456
RNASEH2A,0.6321983587871634,0.8311925095528491,0.199146635941241,0.08029837915939966
